hospitalid,n,mean,p10,p25,p50,p75,p90,p95,p99,numbedscategory,teachingstatus,region
68,12572,33.2,12.0,19.0,27.5,37.0,51.0,66.0,172.4,<100,f,Midwest
364,15733,36.0,12.0,20.0,28.0,40.0,60.0,81.0,202.0,100 - 249,f,Midwest
108,14130,37.1,15.0,22.0,29.0,39.0,55.0,73.0,209.0,250 - 499,f,Midwest
447,1337,31.6,8.0,19.0,29.0,39.0,50.0,62.0,110.0,,f,Midwest
275,30749,36.0,5.0,20.0,29.0,42.0,61.0,82.0,181.0,100 - 249,f,Midwest
179,1591,39.6,7.0,19.0,29.0,45.0,65.0,79.0,499.0,250 - 499,f,West
83,3024,41.0,7.0,18.0,29.0,50.2,84.0,106.0,216.8,,f,
338,195443,31.6,0.0,8.0,30.0,42.0,57.0,72.0,148.0,>= 500,f,Midwest
148,104520,32.5,4.0,14.0,30.0,41.0,56.0,69.0,154.0,250 - 499,f,West
95,7917,41.8,10.0,21.0,30.0,42.0,65.0,96.0,295.9,100 - 249,f,Midwest
435,75445,37.5,9.0,20.0,30.0,43.0,62.0,93.0,186.0,250 - 499,f,South
356,2171,39.3,13.0,20.0,31.0,45.0,74.0,90.0,160.0,<100,f,Midwest
58,8482,37.4,13.0,21.0,31.0,42.0,61.0,77.0,187.2,100 - 249,f,Midwest
220,41152,36.7,12.0,25.0,31.0,39.0,51.9,65.0,199.0,250 - 499,t,South
69,16705,37.4,14.0,22.0,31.0,41.0,58.0,79.0,168.0,<100,f,Midwest
403,59181,33.9,2.0,20.0,32.0,42.0,56.0,72.0,158.0,250 - 499,f,West
63,42571,37.7,14.0,22.0,32.0,43.0,58.0,73.0,177.0,100 - 249,f,Midwest
263,1556,43.7,9.0,22.0,32.0,46.0,71.0,90.0,401.0,,f,
152,64784,33.2,0.0,0.0,32.0,50.0,68.0,85.0,122.0,100 - 249,f,West
281,116670,40.2,10.0,21.0,32.0,47.0,68.0,88.0,188.0,250 - 499,f,Midwest
198,87776,41.2,0.0,7.0,32.0,61.0,90.0,115.0,206.0,>= 500,t,South
209,3808,44.3,10.0,22.0,32.0,48.0,82.0,108.0,202.0,,f,
146,42183,37.4,6.0,20.0,33.0,45.0,62.0,82.0,199.2,250 - 499,f,West
458,236138,33.8,0.0,17.0,33.0,44.0,57.0,69.0,135.0,>= 500,f,South
60,10703,39.0,14.0,23.0,33.0,46.0,63.0,80.0,162.0,<100,f,Midwest
408,8046,38.2,18.0,24.0,33.0,45.0,60.0,76.0,115.0,<100,f,West
352,7288,41.6,12.0,21.0,34.0,49.0,71.0,94.0,190.0,,f,
459,26571,35.4,0.0,17.0,34.0,47.0,63.0,76.0,135.0,100 - 249,f,South
227,77285,38.0,0.0,0.0,34.0,54.0,78.0,101.0,192.0,250 - 499,f,West
174,3393,43.9,17.0,26.0,35.0,53.0,81.0,100.0,171.0,<100,f,West
279,25330,39.8,15.0,25.0,35.0,47.0,62.0,78.0,184.0,100 - 249,f,Midwest
154,55269,40.1,3.0,21.0,35.0,49.0,69.0,88.6,223.0,250 - 499,f,West
207,13248,43.0,13.0,24.0,35.0,49.0,69.0,89.0,188.0,<100,f,South
92,18051,48.2,8.0,21.0,35.0,62.0,94.0,119.0,239.0,250 - 499,f,Midwest
59,14498,41.8,16.0,26.0,36.0,52.0,68.0,83.0,151.0,<100,f,Midwest
438,8621,47.0,13.0,23.0,36.0,59.0,85.0,106.0,210.0,,f,South
381,12531,43.5,9.0,22.0,36.0,52.0,74.0,96.0,171.0,<100,f,West
393,5218,45.8,20.0,27.0,36.0,51.0,73.0,98.0,227.7,<100,f,West
165,101930,41.6,0.0,23.0,37.0,53.0,74.0,94.0,172.7,>= 500,f,West
353,36145,46.4,17.0,26.0,37.0,51.0,73.0,95.0,271.1,100 - 249,f,Midwest
140,27290,41.9,0.0,25.0,37.0,52.0,69.0,89.0,221.0,100 - 249,t,South
56,9900,43.4,18.0,26.0,37.0,50.2,67.0,81.0,237.0,<100,f,Midwest
444,65025,52.0,14.0,24.0,37.0,56.0,94.0,149.8,308.0,,f,Midwest
61,5075,42.4,17.0,26.0,37.0,54.0,68.0,79.0,142.0,<100,f,Midwest
401,5269,40.7,17.0,26.0,37.0,49.0,63.0,74.6,145.0,,f,
206,123783,59.7,11.0,22.0,37.0,53.0,82.0,155.0,747.0,250 - 499,f,Northeast
271,37861,45.3,19.0,28.0,38.0,52.0,73.0,94.0,180.0,,f,Midwest
365,101636,48.2,19.0,28.0,38.0,52.0,74.0,99.0,271.0,,t,Midwest
102,4396,43.9,11.0,22.0,38.0,54.0,74.0,92.0,174.0,,f,
358,16853,47.7,17.0,27.0,38.0,52.0,73.0,98.0,279.0,100 - 249,f,Midwest
226,71169,45.7,0.0,5.0,38.0,64.0,94.0,119.0,232.0,250 - 499,f,West
196,18114,46.9,11.0,26.0,38.0,57.0,83.0,104.0,219.0,<100,f,South
449,160781,44.2,12.0,21.0,38.0,56.0,75.0,92.0,198.0,>= 500,t,Midwest
171,53230,43.0,14.0,28.0,38.0,51.0,72.0,90.0,159.7,100 - 249,f,West
434,15775,50.6,6.0,22.0,39.0,69.0,101.0,125.0,189.0,<100,f,South
386,27055,49.5,16.0,27.0,39.0,55.0,79.0,111.0,262.0,100 - 249,f,West
67,15737,50.1,16.0,26.0,39.0,59.0,87.0,116.0,273.3,,f,Midwest
155,22286,45.2,6.0,26.0,39.0,54.0,77.0,101.0,227.0,100 - 249,f,West
157,66081,40.8,0.0,24.0,39.0,55.0,72.0,87.0,131.0,250 - 499,f,West
164,5127,46.0,12.0,25.0,39.0,59.0,87.0,105.0,159.0,<100,f,West
417,65380,45.0,15.0,28.0,39.0,52.0,70.0,87.0,208.2,250 - 499,f,South
246,4498,44.2,12.0,25.0,39.0,52.0,72.0,99.4,179.0,100 - 249,f,South
202,62502,54.0,0.0,21.0,39.0,59.0,96.0,153.0,424.0,100 - 249,f,Northeast
208,134256,54.8,10.0,25.0,40.0,61.0,94.0,131.0,347.0,>= 500,f,South
180,25730,47.2,10.0,25.0,40.0,57.0,77.0,96.0,286.0,100 - 249,f,South
244,44846,46.9,15.0,30.0,40.0,54.0,72.0,89.0,200.0,100 - 249,f,South
445,14208,45.1,16.0,28.0,40.0,53.0,69.0,80.0,195.9,100 - 249,f,Midwest
215,32604,52.6,17.0,29.0,40.0,56.0,80.0,110.0,362.0,100 - 249,t,South
439,18431,46.6,16.0,27.0,40.0,56.0,79.0,97.0,169.7,100 - 249,f,South
158,10900,47.9,12.0,27.0,40.0,63.0,91.0,108.0,170.0,100 - 249,f,West
282,30367,48.8,2.0,23.0,40.0,63.0,92.0,114.0,240.0,100 - 249,f,Midwest
199,289540,54.4,13.0,27.0,40.0,55.0,77.0,109.0,427.0,>= 500,t,Northeast
394,129021,47.9,14.0,28.0,41.0,57.0,76.0,95.0,227.0,250 - 499,f,West
85,4584,44.8,14.0,26.0,41.0,51.0,61.0,69.0,292.0,,f,
110,51127,52.8,12.0,27.0,41.0,63.0,93.0,125.0,285.0,100 - 249,f,South
272,39377,47.3,13.0,29.0,41.0,57.0,76.0,95.0,200.0,100 - 249,f,Midwest
384,49276,59.8,21.0,29.0,41.0,59.0,89.0,138.0,488.0,250 - 499,f,West
200,25160,49.2,10.0,26.0,41.0,60.0,91.1,118.0,228.0,100 - 249,f,Northeast
407,49581,50.8,19.0,28.0,41.0,62.0,87.0,108.0,215.0,100 - 249,f,West
203,5031,49.7,17.0,26.0,41.0,62.0,87.0,108.0,229.0,100 - 249,f,
184,49499,48.9,11.0,27.0,42.0,58.0,78.0,98.0,259.0,250 - 499,f,South
175,20057,50.2,16.0,27.0,42.0,66.0,91.0,110.0,164.0,100 - 249,f,West
224,24648,51.5,15.0,28.0,42.0,62.0,88.0,114.0,234.0,100 - 249,f,South
452,53296,53.6,14.0,26.0,42.0,57.0,82.5,132.0,366.0,,f,Midwest
176,141163,52.7,7.0,30.0,43.0,60.0,80.0,102.0,296.0,,f,
399,11154,50.8,19.0,29.0,43.0,61.0,83.0,103.0,241.0,<100,f,West
269,42479,53.1,15.0,28.0,43.0,64.0,96.0,124.0,218.0,,f,
422,13541,51.4,22.0,32.0,44.0,60.0,82.0,103.0,204.0,100 - 249,f,Northeast
390,90159,49.9,18.0,31.0,44.0,60.0,79.0,98.0,179.0,250 - 499,f,
391,55481,51.8,7.0,27.0,44.0,64.0,89.0,112.0,237.0,250 - 499,f,
141,60367,50.9,0.0,29.0,45.0,66.0,94.0,116.0,190.0,250 - 499,f,South
437,3931,55.4,20.0,32.0,45.0,64.0,94.0,123.0,241.0,<100,f,South
402,16817,52.6,10.0,27.0,45.0,67.0,94.0,116.0,205.0,<100,f,West
125,3764,63.5,5.0,24.0,45.0,78.2,112.0,184.0,495.0,<100,f,South
142,110443,47.1,0.0,21.0,45.0,62.0,84.0,102.0,211.0,>= 500,f,South
217,87223,63.0,16.0,30.0,46.0,71.0,108.0,144.0,424.0,250 - 499,f,South
210,22087,58.5,13.0,28.0,46.0,76.0,106.0,127.0,249.0,100 - 249,f,South
144,34804,52.9,0.0,30.0,46.0,66.0,92.0,115.0,239.8,100 - 249,f,South
73,310167,55.5,12.0,30.0,46.0,66.0,92.0,116.0,273.0,>= 500,t,Midwest
389,21141,53.7,21.0,32.0,46.0,64.0,88.0,109.0,223.0,<100,f,West
436,13038,57.3,23.0,34.0,47.0,68.0,96.0,119.0,222.0,100 - 249,f,South
398,15535,54.5,15.0,28.0,47.0,71.0,94.0,117.0,222.0,<100,f,West
388,76874,55.6,25.0,34.0,47.0,65.0,88.0,110.0,237.0,100 - 249,f,West
195,116677,54.1,0.0,12.0,47.0,73.0,106.0,139.0,279.0,250 - 499,t,South
197,96263,66.3,14.0,29.0,48.0,71.0,104.0,138.0,569.8,,f,South
181,54314,54.8,10.0,30.0,48.0,67.0,91.0,113.0,253.6,,f,South
382,69021,65.6,8.0,26.0,48.0,70.0,94.0,117.0,971.8,>= 500,f,
205,9844,58.9,19.0,34.0,49.0,74.0,100.0,127.0,233.0,<100,f,Northeast
400,113734,56.7,4.0,29.0,49.0,70.0,98.0,128.0,286.0,250 - 499,f,West
280,63688,65.9,16.0,33.0,50.0,74.0,111.0,157.0,354.0,250 - 499,f,Midwest
243,160690,64.9,15.0,34.0,50.0,73.0,108.0,153.0,356.1,>= 500,f,South
183,96635,58.5,10.0,30.0,51.0,70.0,95.0,123.0,338.0,>= 500,f,South
387,29091,67.9,16.0,34.0,51.0,75.0,107.0,138.0,459.7,>= 500,f,West
182,20315,59.9,11.0,31.0,51.0,73.0,105.0,135.0,316.0,100 - 249,f,South
405,14414,70.7,23.0,32.0,51.0,87.0,144.0,178.0,285.0,100 - 249,f,West
188,136083,86.3,20.0,35.0,52.0,77.0,145.0,269.0,905.0,>= 500,t,South
201,5610,61.9,16.0,32.0,52.0,78.0,119.0,137.0,214.0,100 - 249,f,
245,18892,62.0,19.0,33.0,52.0,83.0,109.0,130.0,225.0,100 - 249,f,South
404,19641,61.9,21.0,36.0,53.0,78.0,107.0,133.0,221.0,<100,f,West
143,26283,60.0,0.0,28.0,53.0,88.0,120.0,136.0,203.0,250 - 499,f,
383,27942,65.0,25.0,36.0,54.0,85.0,116.0,139.0,188.0,100 - 249,f,West
194,20332,75.1,23.0,35.0,55.0,86.0,133.0,178.0,365.0,100 - 249,f,South
66,33962,59.0,18.0,36.0,55.0,71.0,92.0,113.0,204.0,100 - 249,f,Midwest
396,39787,65.7,20.0,35.0,55.0,81.0,111.0,140.0,311.0,100 - 249,f,West
167,226788,62.4,4.0,34.0,56.0,82.0,115.0,141.0,247.0,>= 500,t,West
122,136745,59.0,4.0,26.0,56.0,79.0,103.0,126.0,247.0,>= 500,f,South
433,9960,62.0,10.9,35.0,57.0,82.2,107.0,127.0,213.0,,f,South
429,16452,71.6,22.0,38.0,58.0,86.0,131.0,173.0,260.0,,f,South
283,111672,74.8,21.0,38.0,60.0,86.0,122.0,161.0,366.0,250 - 499,f,Midwest
277,86639,78.5,8.0,38.0,62.0,90.0,126.0,179.0,513.0,100 - 249,f,Midwest
268,31062,85.7,17.0,41.0,71.0,120.0,157.0,193.0,314.0,,f,
392,48153,92.1,35.0,52.0,82.0,120.0,157.0,180.0,265.0,250 - 499,f,West
131,7629,87.5,9.0,57.0,85.0,110.0,137.0,157.0,328.2,<100,f,South
414,1792,132.3,24.0,52.0,95.0,161.0,236.0,279.0,1368.0,,f,West
273,12064,127.7,43.0,92.0,125.0,158.0,196.0,227.9,400.0,100 - 249,f,Midwest
84,1784,203.7,43.0,75.8,133.0,233.0,477.4,571.0,1031.0,<100,f,Midwest
93,2768,274.0,64.0,121.0,225.0,378.0,487.0,567.0,1149.0,,f,Midwest
