hospitalid,n,pct_zero,pct_neg,p50,all_zero
258,14455,89.6160498097544,0.0,0.0,True
259,58891,79.82374216773361,0.0,0.0,True
262,7263,87.34682638028363,0.0,0.0,True
263,1556,0.0,0.0,32.0,False
264,303341,80.57730409011641,0.0,0.0,True
265,456,100.0,0.0,0.0,True
266,14158,81.82652917078683,0.0,0.0,True
267,4929,87.34023128423615,0.0,0.0,True
268,31062,0.0,0.0,71.0,False
269,42479,0.004708208761976506,0.0,43.0,False
271,37861,0.09772589207892027,0.0,38.0,False
272,39377,0.005079107092973056,0.0,41.0,False
273,12064,0.0,0.0,125.0,False
275,30749,0.0,0.0,29.0,False
277,86639,0.0,0.0,62.0,False
279,25330,0.01973943939992104,0.0,35.0,False
280,63688,0.0,0.0,50.0,False
281,116670,0.08142624496442959,0.0,32.0,False
282,30367,2.0779135245496754,0.0,40.0,False
283,111672,0.0026864388566516227,0.0,60.0,False
300,116624,49.44522568253532,0.0,11.0,False
301,42782,99.981300546959,0.0,0.0,True
303,9148,100.0,0.0,0.0,True
307,56271,99.9804517424606,0.0,0.0,True
310,11568,57.65905947441217,0.0,0.0,True
312,24649,100.0,0.0,0.0,True
318,54968,99.98544607771794,0.0,0.0,True
323,565,100.0,0.0,0.0,True
328,11471,100.0,0.0,0.0,True
331,37493,99.94932387378978,0.0,0.0,True
336,38311,99.98955913445225,0.0,0.0,True
337,23956,100.0,0.0,0.0,True
338,195443,16.899556392400854,0.0,30.0,False
342,6961,100.0,0.0,0.0,True
345,37338,100.0,0.0,0.0,True
350,4814,100.0,0.0,0.0,True
351,667,0.0,0.0,38.0,False
352,7288,0.0,0.0,34.0,False
353,36145,0.0,0.0,37.0,False
355,3073,0.03254149040026033,0.0,26.0,False
356,2171,0.0,0.0,31.0,False
357,16653,0.21617726535759324,0.0,27.0,False
358,16853,0.0,0.0,38.0,False
360,17381,9.297508773948564,0.0,24.0,False
361,104,0.0,0.0,25.0,False
363,1997,0.0,0.0,24.0,False
364,15733,3.343291171423123,0.0,28.0,False
365,101636,0.02853319689873667,0.0,38.0,False
381,12531,0.0,0.0,36.0,False
382,69021,0.001448834412714971,0.0,48.0,False
383,27942,0.0,0.0,54.0,False
384,49276,0.0,0.0,41.0,False
385,46,0.0,0.0,88.0,False
386,27055,0.0,0.0,39.0,False
387,29091,0.0,0.0,51.0,False
388,76874,0.0,0.0,47.0,False
389,21141,0.0,0.0,46.0,False
390,90159,0.0011091516099335618,0.0,44.0,False
391,55481,0.021629026153097457,0.0,44.0,False
392,48153,0.0,0.0,82.0,False
393,5218,0.0,0.0,36.0,False
394,129021,0.004650405747901504,0.0,41.0,False
396,39787,0.0,0.0,55.0,False
397,38904,99.99485914044828,0.0,0.0,True
398,15535,0.0,0.0,47.0,False
399,11154,0.0,0.0,43.0,False
400,113734,0.0,0.0,49.0,False
401,5269,0.0,0.0,37.0,False
402,16817,0.0,0.0,45.0,False
403,59181,9.915344451766614,0.0,32.0,False
404,19641,0.0,0.0,53.0,False
405,14414,0.0,0.0,51.0,False
407,49581,0.02218591799277949,0.0,41.0,False
408,8046,0.0,0.0,33.0,False
411,71040,98.67820945945947,0.0,0.0,True
412,8452,97.23142451490772,0.0,0.0,True
413,68563,97.39655499321792,0.0,0.0,True
414,1792,0.4464285714285714,0.0,95.0,False
416,160551,0.021799926503104933,0.0,24.0,False
417,65380,0.0,0.0,39.0,False
419,32299,100.0,0.0,0.0,True
420,47474,97.17108311918102,0.0,0.0,True
421,33362,99.96103351118039,0.0,0.0,True
422,13541,0.0,0.0,44.0,False
423,10003,100.0,0.0,0.0,True
424,1536,100.0,0.0,0.0,True
425,10128,100.0,0.0,0.0,True
428,16246,88.55718330666011,0.0,0.0,True
429,16452,0.0,0.0,58.0,False
433,9960,0.0,0.0,57.0,False
434,15775,1.4136291600633915,0.0,39.0,False
435,75445,1.2432898137716217,0.0,30.0,False
436,13038,0.053689216137444394,0.0,47.0,False
437,3931,0.0,0.0,45.0,False
438,8621,0.05799791207516529,0.0,36.0,False
439,18431,0.0,0.0,40.0,False
440,49301,100.0,0.0,0.0,True
443,65097,96.68341090987296,0.0,0.0,True
444,65025,0.06920415224913494,0.0,37.0,False
445,14208,0.28153153153153154,0.0,40.0,False
447,1337,0.0,0.0,29.0,False
449,160781,0.0,0.0,38.0,False
452,53296,0.0,0.0,42.0,False
458,236138,17.21408667812889,0.0,33.0,False
459,26571,15.3023973504949,0.0,34.0,False
